text,label,source_url,notes
"Yea! Cal literally did everything he could, also giving the general the ok to help X's wife. Like what else can he do. It's X's own fault for not even trying to stop Teri from going.",critique,paradise_s2_thread_1,"Judgment (X's fault) backed by evidence"
"yeah! They literally told him ""Extinction Level Event"" and he couldn't convince his wife to stay home with the kids in case of an emergency evacuation? Irresponsible parenting… Marsha's son could have had that seat/ticket",critique,paradise_s2_thread_1,"Judgment plus reasoning"
"It was bugging me how hypocritical X was this season too. While he was moving across the country trying to find Teri, he kept lecturing everybody about how important it is to see the good in people and assume good intent. Meanwhile, almost every single first interaction he had with a new person was immediate violence lmao: killing the guy tracking the kids, tackling the guy in the house he broke into, holding Gary at gunpoint when he met him, etc",critique,paradise_s2_thread_1,"Strong critique with stacked evidence"
"he literally has one attempt on screen to stop her and it's weak af ""maybe you shouldn't go..."" as she's literally getting in the car to go to the airport. How about a real warning so cancel your flight and let's wait a few days?",critique,paradise_s2_thread_1,"Critiques the writing as weak, offers alternative"
"Honestly, I like this show, but it is completely absurd that Sinatra decides to never warn people of the 2nd ELE that she was warned about and would change a lot of people's decision making.",critique,paradise_s2_thread_1,"Critiques plausibility with reasoning"
"I loved this show when I watched it back when it started in season 1 and im so pleasantly surprised that the show has gained more attention",reaction,paradise_s2_thread_1,"Mostly emotion"
"I wish Annie and Billy Pace had a longer time in the whole show. Are they really going to end this after season three? This show is so good.",reaction,paradise_s2_thread_1,"Emotional wish plus praise"
"That's not really much of a tough decision.",hot_take,paradise_s2_thread_1,"Bare claim, no reasoning"
"6-8 seasons is a lot… at that point the storylines would just get stale",hot_take,paradise_s2_thread_1,"Borderline — sliver of reasoning, leaning hot_take"
"My take: season 2 > season 1",hot_take,paradise_s2_finale_thread,"Bare claim, no reasoning"
"I think they did a great job with the the outside world, all the characters we came across felt real and grounded. Favourites from this season were Xavier, Teri and Annie and least favourites were Agent Robinson and Jane. Robinson's character feels a bit redundant at this point.",critique,paradise_s2_finale_thread,"Judgment plus specifics"
"""Grounded"" is no longer a word that can possibly describe this story.",hot_take,paradise_s2_finale_thread,"Snarky bare assertion, rebuttal"
"Season 2 was incredibly stupid at every turn. I had some laughs and was entertained but it mostly reminded me of other shows that do it better. The finale was really a disappointment, didn't give any info they hadn't already been pushing for weeks and just kicked the can down the road to next season. The backstory for this computer just being alive and in charge was a real letdown. This show is really uneven and mostly bad. The set-up for next season is really boring.",critique,paradise_s2_finale_thread,"Detailed judgment plus reasoning"
"not got solution for time travel mysteries, but other than that this season was awesome",hot_take,paradise_s2_finale_thread,"DIFFICULT: emotive (awesome) plus caveat; could read as reaction. Called hot_take for the evaluative claim"
"I cant tell whether they just randomly decided to switch to sci-fi while writing season 2, or if it was always supposed to be this and season 1 was executed very poorly. Either way, the writers really did a terrible job with this. As a sci-fi lover I'm lowkey offended at how this was done.",critique,paradise_s2_finale_thread,"Judgment plus reasoning, some emotion"
"Very disappointed with the episode. Way too many critical events and meet ups were just rushed through and it made me feel cheated. Who's idea was 8 episodes? Come on.",critique,paradise_s2_finale_thread,"Reasoning (rushed, too few episodes)"
"Can someone tell me why Season 2 changed so much? The pacing was not the same at all. The huge back story in episode 1 was the total opposite of the pacing all throughout season 1. The pacing is what made me fall in love with it. Episode 2 was nonsensical for so many reasons. I would say that episode was one of the worst episodes I have watched of any TV show. We just stopped watching it. Such a let-down.",critique,paradise_s2_finale_thread,"Heavy reasoning on pacing"
